Country Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,..,..,..,..,..,..,..,..,..,..,..,147.2,155.6,160.5,182.8,167.7,169.7,..,..,..
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,17.0,25.0,27.0,29.0,..,..,..
Albania,..,..,..,..,..,..,..,..,..,..,..,87.0,89.0,99.0,107.0,114.0,120.0,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,88.0,89.0,91.0,95.0,101.0,109.0,112.0,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.0,..,..,..,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,221.0,230.0,..,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,314.0,..,..,..,..,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103.0,..,..,..,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..,..,644.0,653.0,662.0,671.0,677.0,687.0,688.0,..,..,..
Austria,..,..,..,..,..,..,..,..,..,..,595.0,599.0,549.0,553.0,557.0,561.0,569.0,..,..,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,61.0,66.0,72.0,80.0,89.0,98.0,104.0,..,..,..
"Bahamas, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.0,..,..,..,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,383.0,409.0,427.0,448.0,477.0,512.0,537.0,..,..,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,2.0,2.0,2.0,2.0,2.0,3.0,..,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,377.0,399.0,..,..,469.0,..,..,..,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282.0,..,..,..,..,..
Belgium,..,..,..,..,..,..,..,..,..,..,524.0,530.0,534.0,538.0,544.0,548.0,552.0,..,..,..
Belize,..,..,..,..,..,..,..,..,..,..,162.0,..,..,..,174.0,..,..,..,..,..
Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.0,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,..,..,..,..,..,..,..,..,..,..,..,31.0,34.0,37.0,41.0,47.0,57.0,..,..,..
Bolivia,..,..,..,..,..,..,..,..,..,..,45.0,49.0,..,..,68.0,..,..,..,..,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,113.0,114.0,117.0,122.0,135.0,138.0,..,..,..
Botswana,..,..,..,..,..,..,..,..,..,..,96.0,97.0,101.0,105.0,113.0,124.0,133.0,..,..,..
Brazil,..,..,..,..,..,..,..,..,..,..,164.0,171.0,178.0,186.0,197.0,209.0,..,..,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,470.0,452.0,464.0,484.0,510.0,..,..,..,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,338.0,359.0,376.0,262.0,309.0,353.0,375.0,..,..,..
